Date,Lumber,Intermodal,Standard_Indicator_1,Standard_Indicator_2,Standard_Indicator_3,Standard_Indicator_4,Standard_Indicator_5,Standard_Indicator_6,Fancy_Indicator_1,Fancy_Indicator_2,Fancy_Indicator_3,Fancy_Indicator_4,Fancy_Indicator_5,Fancy_Indicator_6,Lumber_Forecast,Standard_Attribution_Indicator_1,Standard_Attribution_Indicator_2,Standard_Attribution_Indicator_3,Standard_Attribution_Indicator_4,Standard_Attribution_Indicator_5,Standard_Attribution_Indicator_6,Intermodal_Forecast,Fancy_Attribution_Indicator_1,Fancy_Attribution_Indicator_2,Fancy_Attribution_Indicator_3,Fancy_Attribution_Indicator_4,Fancy_Attribution_Indicator_5,Fancy_Attribution_Indicator_6
2019-01-31,2.484,52.484,0.301,2.824,2.503,-2.378,,,42.921,25.986,3.343,2.271,,,,,,,,,,,,,,,,
2019-02-28,4.732,57.36,2.756,5.547,-2.92,7.156,1.363,,45.418,31.769,-4.01,4.734,51.39,,,,,,,,,,,,,,,
2019-03-31,12.746,67.331,5.603,17.839,-3.267,14.505,6.227,6.437,46.384,39.113,3.136,15.599,57.294,56.362,,,,,,,,,,,,,,
2019-04-30,18.886,74.268,9.632,16.639,3.455,17.597,13.967,12.925,54.902,47.541,7.292,19.067,66.244,67.806,,,,,,,,,,,,,,
2019-05-31,9.184,64.023,8.867,14.426,1.14,9.389,18.845,14.986,46.752,39.159,-7.853,14.231,72.842,68.882,,,,,,,,,,,,,,
2019-06-30,5.948,59.084,8.232,12.355,5.398,6.496,9.419,10.537,45.464,31.697,-0.645,13.13,64.236,65.423,,,,,,,,,,,,,,
2019-07-31,10.438,61.201,7.091,3.238,4.944,-1.425,8.503,8.972,39.946,29.307,5.359,-2.321,58.574,61.473,,,,,,,,,,,,,,
2019-08-31,1.803,50.193,4.273,-5.231,3.268,-9.46,9.255,6.088,37.193,17.933,2.747,-11.234,64.209,57.521,,,,,,,,,,,,,,
2019-09-30,-7.618,39.069,-4.248,-12.27,0.681,-7.694,2.897,1.737,30.524,14.249,5.552,-18.327,44.891,49.075,,,,,,,,,,,,,,
2019-10-31,-3.474,42.67,-4.367,-12.744,-1.483,-13.785,-8.022,-4.642,24.593,13.098,2.16,-10.512,41.252,42.421,,,,,,,,,,,,,,
2019-11-30,-6.74,40.201,-3.634,-15.132,3.299,-16.773,-3.909,-5.895,24.591,11.424,5.431,-11.027,45.163,41.039,,,,,,,,,,,,,,
2019-12-31,-2.668,46.231,2.747,-6.197,9.019,-4.746,-4.543,-3.298,26.244,21.075,4.971,-7.667,36.054,41.077,,,,,,,,,,,,,,
2020-01-31,6.295,57.82,4.299,1.023,6.958,6.366,-1.017,1.865,39.666,29.065,10.773,0.84,45.545,48.9,,,,,,,,,,,,,,
2020-02-29,0.942,55.095,5.353,6.418,1.627,10.597,7.922,3.442,40.719,30.825,7.628,4.124,57.077,49.643,,,,,,,,,,,,,,
2020-03-31,5.968,62.078,-3.682,9.805,7.811,8.432,3.553,8.708,47.961,42.745,8.469,20.328,52.28,60.389,,,,,,,,,,,,,,
2020-04-30,13.544,70.451,11.947,19.872,9.168,13.547,6.01,5.283,49.538,46.303,5.98,15.388,60.522,63.486,,,,,,,,,,,,,,
2020-05-31,10.376,66.74,7.524,12.282,4.6,16.791,14.908,11.707,51.604,39.956,6.185,13.319,68.23,66.935,,,,,,,,,,,,,,
2020-06-30,13.775,68.436,8.745,11.243,9.259,5.377,9.755,12.932,43.765,38.837,6.914,9.677,70.244,70.508,,,,,,,,,,,,,,
2020-07-31,3.087,55.375,2.436,3.171,9.385,1.331,14.423,13.459,33.652,25.936,10.73,1.443,70.307,66.848,,,,,,,,,,,,,,
2020-08-31,-4.011,45.905,-8.77,-9.467,5.089,-5.176,2.827,2.667,31.967,15.187,7.977,-6.828,57.918,58.601,,,,,,,,,,,,,,
2020-09-30,7.143,55.355,4.341,-4.634,11.601,-15.771,-3.817,0.394,39.901,20.87,11.329,-15.362,47.348,48.53,,,,,,,,,,,,,,
2020-10-31,-2.231,45.439,-0.49,-8.501,12.921,-15.179,8.333,-0.898,31.709,16.538,18.98,-13.586,53.097,46.34,,,,,,,,,,,,,,
2020-11-30,0.999,49.466,5.133,-11.376,15.519,-22.714,-3.867,-2.277,28.424,13.276,14.671,-7.344,44.39,48.837,,,,,,,,,,,,,,
2020-12-31,-2.378,48.046,-3.219,-5.82,15.91,-10.573,5.184,-2.255,33.365,20.149,10.391,-3.464,50.445,47.702,,,,,,,,,,,,,,
2021-01-31,7.448,60.498,2.788,4.244,6.693,-0.758,-4.39,0.505,38.435,28.948,17.008,4.78,45.601,53.705,,,,,,,,,,,,,,
2021-02-28,16.148,71.826,9.798,14.638,8.961,3.757,5.019,7.373,52.287,39.939,11.08,5.966,61.924,58.672,,,,,,,,,,,,,,
2021-03-31,13.922,71.557,12.492,13.147,15.28,17.888,18.464,13.189,51.19,43.254,5.068,10.022,71.345,68.334,,,,,,,,,,,,,,
2021-04-30,23.319,81.751,17.31,19.019,15.784,10.71,15.506,21.549,54.406,49.148,9.696,14.623,70.808,73.534,,,,,,,,,,,,,,
2021-05-31,17.521,75.411,10.676,18.465,16.297,11.67,24.567,20.155,51.246,46.463,6.754,13.158,83.173,75.017,,,,,,,,,,,,,,
2021-06-30,15.83,72.016,12.621,13.509,30.157,7.892,18.778,17.736,47.234,39.346,13.34,10.783,76.299,73.579,,,,,,,,,,,,,,
2021-07-31,9.703,63.517,7.084,5.353,17.538,4.324,15.805,12.555,44.274,32.299,15.328,-5.077,71.294,68.468,,,,,,,,,,,,,,
2021-08-31,17.397,68.838,15.084,4.391,20.305,-11.808,7.909,15.294,51.052,29.318,22.468,-2.911,65.836,65.42,,,,,,,,,,,,,,
2021-09-30,4.832,54.569,1.276,-7.605,20.087,-9.501,17.549,8.003,35.241,18.146,17.579,-13.464,66.676,60.356,,,,,,,,,,,,,,
2021-10-31,-1.306,47.889,-1.897,-10.188,19.385,-14.969,3.477,10.637,35.035,12.13,15.903,-16.281,55.801,59.206,,,,,,,,,,,,,,
2021-11-30,9.859,59.851,5.725,-3.144,16.027,-15.935,0.645,6.821,40.305,20.112,20.606,-16.027,49.076,52.204,,,,,,,,,,,,,,
2021-12-31,3.726,55.675,-1.782,-4.566,20.832,-6.114,9.565,3.155,36.594,24.349,8.952,-12.465,59.232,59.737,,,,,,,,,,,,,,
2022-01-31,16.299,70.875,12.297,11.881,15.214,0.597,2.075,6.535,49.291,36.439,19.248,2.47,56.328,63.12,,,,,,,,,,,,,,
2022-02-28,10.88,68.083,8.399,11.387,17.866,5.699,15.656,13.009,44.552,37.086,21.897,7.72,68.373,65.247,,,,,,,,,,,,,,
2022-03-31,18.121,77.282,12.7,15.338,17.381,13.2,11.705,14.871,52.436,47.5,13.408,9.12,69.931,70.363,,,,,,,,,,,,,,
2022-04-30,27.51,87.467,18.553,25.068,20.158,13.844,16.994,21.312,57.634,55.236,24.406,11.115,76.912,79.011,,,,,,,,,,,,,,
2022-05-31,29.302,88.717,16.265,21.362,29.598,13.331,25.865,21.789,67.996,49.68,21.693,11.983,86.422,83.337,,,,,,,,,,,,,,
2022-06-30,23.23,80.942,14.999,18.189,13.378,9.486,29.789,25.482,56.765,46.558,19.186,12.507,90.815,85.953,,,,,,,,,,,,,,
2022-07-31,17.218,72.557,11.025,10.926,24.101,4.758,23.72,23.26,48.691,34.953,23.887,-0.779,79.533,85.859,,,,,,,,,,,,,,
2022-08-31,11.715,64.681,5.794,-0.784,15.414,-11.213,16.204,17.482,45.919,28.482,30.947,-12.009,69.74,72.535,,,,,,,,,,,,,,
2022-09-30,2.591,53.854,1.33,-5.438,20.485,-6.591,10.773,9.608,37.361,16.74,23.1,-13.728,61.568,65.996,,,,,,,,,,,,,,
2022-10-31,5.469,56.189,5.04,-6.44,27.237,-20.856,3.055,7.837,38.669,14.485,23.874,-15.818,55.066,56.835,,,,,,,,,,,,,,
2022-11-30,8.528,60.045,11.628,-2.752,23.647,-13.446,2.572,3.394,43.874,18.107,21.552,-21.081,53.628,56.626,,,,,,,,,,,,,,
2022-12-31,20.201,73.675,14.664,8.894,19.587,-5.735,5.713,11.114,53.845,31.934,20.499,-7.663,63.555,66.845,,,,,,,,,,,,,,
2023-01-31,22.057,78.159,16.213,10.538,21.546,0.843,18.764,17.169,53.12,39.599,27.728,-0.693,69.512,69.373,20.556,0.286,0.015,0.242,0.173,0.028,0.048,72.339,0.095,0.088,0.539,0.102,0.043,0.057
2023-02-28,16.948,75.676,11.64,11.966,27.634,5.632,21.63,20.764,51.246,41.03,21.491,9.589,81.552,79.462,23.118,0.078,0.065,0.265,0.133,0.133,0.218,83.924,0.591,0.033,0.094,0.531,0.013,0.07
2023-03-31,31.467,92.153,16.271,22.615,22.502,12.366,17.569,24.914,63.682,56.014,25.71,18.537,76.098,83.412,30.798,0.016,0.111,0.063,0.02,0.063,0.169,87.845,0.292,0.505,0.342,0.54,0.198,0.446
2023-04-30,29.685,91.168,20.7,23.211,26.798,13.521,34.418,23.784,56.912,52.261,24.022,18.38,91.96,85.208,33.187,0.396,0.163,0.125,0.029,0.24,0.156,89.458,0.174,0.028,0.191,0.081,0.116,0.079
2023-05-31,27.31,88.25,19.297,22.161,26.623,11.222,31.4,26.419,57.229,52.653,28.357,12.184,90.078,91.788,32.334,0.15,0.005,0.165,0.145,0.151,0.104,90.798,0.801,0.336,0.056,0.237,0.027,0.095
2023-06-30,30.516,89.753,28.751,20.94,24.343,10.049,26.99,31.725,66.928,47.455,28.284,4.18,89.048,91.669,30.304,0.148,0.361,0.095,0.05,0.119,0.117,83.202,0.114,0.249,0.279,0.127,0.23,0.143
2023-07-31,28.036,84.901,19.048,14.572,36.033,1.071,30.478,29.285,64.365,41.147,31.608,7.72,89.678,88.878,25.398,0.342,0.496,0.25,0.1,0.079,0.507,78.32,0.074,0.047,0.194,0.089,0.127,0.147
2023-08-31,22.961,77.453,16.978,8.135,30.502,-9.579,26.031,25.674,53.47,33.821,25.926,-7.322,87.107,80.895,20.237,0.301,0.015,0.052,0.447,0.17,0.073,71.51,0.122,0.041,0.495,0.133,0.039,0.116
2023-09-30,10.872,63.661,7.507,-3.198,20.374,-10.292,22.924,23.726,46.292,21.449,27.395,-12.949,77.681,73.884,16.106,0.448,0.345,0.187,0.047,0.241,0.133,68.974,0.49,0.195,0.023,0.123,0.222,0.079
2023-10-31,12.606,64.852,5.319,-0.79,29.729,-14.078,10.295,15.711,46.33,21.657,25.068,-15.072,63.962,68.16,12.173,0.197,0.314,0.19,0.201,0.156,0.194,66.507,0.497,0.08,0.072,0.278,0.219,0.234
2023-11-30,17.572,70.615,15.729,-0.403,26.844,-10.552,13.252,16.042,58.667,28.66,27.714,-12.396,64.125,66.227,18.282,0.095,0.191,0.177,0.014,0.07,0.121,68.282,0.368,0.097,0.053,0.008,0.034,0.501
2023-12-31,24.878,79.878,19.67,12.879,33.41,-5.611,15.918,18.487,59.273,33.785,31.509,-7.933,70.501,73.023,22.087,0.365,0.006,0.012,0.594,0.4,0.026,76.223,0.16,0.219,0.313,0.221,0.117,0.075
2024-01-31,,,,,,,,,,,,,,,27.803,0.147,0.065,0.194,0.308,0.15,0.083,85.632,0.262,0.16,0.041,0.096,0.096,0.474
2024-02-29,,,,,,,,,,,,,,,30.294,0.603,0.358,0.298,0.118,0.34,0.201,92.232,0.247,0.319,0.316,0.07,0.039,0.064
2024-03-31,,,,,,,,,,,,,,,34.934,0.357,0.04,0.192,0.392,0.218,0.69,97.392,0.048,0.04,0.518,0.05,0.162,0.062
2024-04-30,,,,,,,,,,,,,,,41.131,0.012,0.144,0.308,0.078,0.193,0.185,97.522,0.177,0.044,0.475,0.031,0.194,0.007
2024-05-31,,,,,,,,,,,,,,,38.194,0.324,0.061,0.068,0.132,0.3,0.207,96.771,0.047,0.36,0.023,0.191,0.156,0.159
2024-06-30,,,,,,,,,,,,,,,36.564,0.152,0.065,0.059,0.339,0.358,0.203,93.565,0.214,0.039,0.116,0.047,0.367,0.023
